PassengerId,Survived,is_Capt.,is_Col.,is_Don.,is_Dr.,is_Jonkheer.,is_Lady.,is_Major.,is_Master.,is_Miss.,is_Mlle.,is_Mme.,is_Mr.,is_Mrs.,is_Ms.,is_Rev.,is_Sir.,is_Cts.,is_Male,from_C,from_N,from_Q,from_S,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,-0.4454745195349943,0.3961428892123181,-0.32791691685053104,-0.7764797777371143,-0.020780901057697025,-0.4700626201111143
2,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1.0938918706619982,-1.1102135692398454,0.487017631165733,-1.016165763131627,-1.0288746056820086,0.08632777128819186
3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,-2.4858187711961217,1.0467297812898513,5.938700606558163,0.3726013972265717,-0.046109227330481534,-0.11262482459816849
4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.9435062572198761,-1.0271646319726677,0.4287921332918758,-0.9903869999894278,-1.427723608250279,-0.15048664068785703
5,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,-0.6909211058785355,-0.1293364395879915,-0.38679631587941166,0.04943316711854808,0.17966588509941878,0.378637180911751
6,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,-0.685476248822778,-0.10925510856162238,-0.40044784256911836,0.04475587134377852,0.20913586931166836,-0.04887064238237893
7,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,0.3844084021474839,-1.2233558872747303,0.1794135569487904,-0.113742895043241,-0.5305095033598778,1.5027554541659216
8,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.6401635872452496,1.879850306322616,-0.2351766968112717,-1.2804979980288191,-0.33640966244155884,-1.517161715192607
9,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.20572381377560436,0.9698217633522382,-0.32440541633538356,2.385330625860673,-0.20984314684490316,0.08345043096850029
10,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,-0.1909100408496637,0.2649678334168735,-0.2817297735496824,-0.8292652303158,0.47687011935248647,-0.9986126277090221
11,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.396012131846293,0.608858977764052,-0.20959728363109026,0.3205200562342373,-0.7453160043145385,-2.0724358225468125
